timestamp,message
1757922753792,"INIT_START Runtime Version: nodejs:20.v75	Runtime Version ARN: arn:aws:lambda:us-east-1::runtime:1ffa4c233e75382c8a39aa96770f3b81af75cba9794a5c2a1750c1ee63cdfe10
"
1757922754203,"START RequestId: 56cc2e63-b960-4cda-95d3-c007271c0bcc Version: $LATEST
"
1757922754331,"END RequestId: 56cc2e63-b960-4cda-95d3-c007271c0bcc
"
1757922754331,"REPORT RequestId: 56cc2e63-b960-4cda-95d3-c007271c0bcc	Duration: 127.94 ms	Billed Duration: 536 ms	Memory Size: 1024 MB	Max Memory Used: 96 MB	Init Duration: 407.09 ms	
"
1757922764695,"START RequestId: ffec821d-b0ef-4d97-9f09-0e1e6764c8c4 Version: $LATEST
"
1757922764743,"END RequestId: ffec821d-b0ef-4d97-9f09-0e1e6764c8c4
"
1757922764743,"REPORT RequestId: ffec821d-b0ef-4d97-9f09-0e1e6764c8c4	Duration: 47.21 ms	Billed Duration: 48 ms	Memory Size: 1024 MB	Max Memory Used: 96 MB	
"
1757922774714,"START RequestId: d50430e7-7299-45fc-bfe4-4cc783549b38 Version: $LATEST
"
1757922774724,"END RequestId: d50430e7-7299-45fc-bfe4-4cc783549b38
"
1757922774724,"REPORT RequestId: d50430e7-7299-45fc-bfe4-4cc783549b38	Duration: 10.07 ms	Billed Duration: 11 ms	Memory Size: 1024 MB	Max Memory Used: 96 MB	
"
1757922783021,"START RequestId: 70946b09-bb73-45fc-be18-605e29b9e538 Version: $LATEST
"
1757922783060,"END RequestId: 70946b09-bb73-45fc-be18-605e29b9e538
"
1757922783060,"REPORT RequestId: 70946b09-bb73-45fc-be18-605e29b9e538	Duration: 38.44 ms	Billed Duration: 39 ms	Memory Size: 1024 MB	Max Memory Used: 96 MB	
"
1757922791514,"START RequestId: 7187d090-ffa4-4699-a027-c9618b5ba2e3 Version: $LATEST
"
1757922791524,"END RequestId: 7187d090-ffa4-4699-a027-c9618b5ba2e3
"
1757922791524,"REPORT RequestId: 7187d090-ffa4-4699-a027-c9618b5ba2e3	Duration: 9.78 ms	Billed Duration: 10 ms	Memory Size: 1024 MB	Max Memory Used: 96 MB	
"
1757922800452,"START RequestId: 2f720efd-b9e0-4cf4-8d9c-77370077f9ce Version: $LATEST
"
1757922800465,"END RequestId: 2f720efd-b9e0-4cf4-8d9c-77370077f9ce
"
1757922800465,"REPORT RequestId: 2f720efd-b9e0-4cf4-8d9c-77370077f9ce	Duration: 12.66 ms	Billed Duration: 13 ms	Memory Size: 1024 MB	Max Memory Used: 96 MB	
"